이름,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호,보관방법,생산자,소재지,제조연월일,유통기한 또는 품질유지기한,포장단위별 내용물의 용량(중량),원재료명 및 함량,제품명,식품유형,원재료명,포장재질,품질유지기한,제조 및 판매원,"포장단위별 내용물의 용량(중량), 수량",성분,제조원,원재료,용량,주소,허가번호,제조일,권장기한
젠틀레인,원두커피,"브니엘컴퍼니, 서울시 양천구 가로공원로56길 27-1 1층 브니엘 커피 로스터스",제조일로부터 1년,상단에 표시,250g / 1kg,없음,"브라질 50%, 에티오피아 50%",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
구스토 블렌드,커피,경기도 파주시 문산읍 사목로 69번지 3동,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,스트레토 커피팩토리 01086790553,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
"LIGHT,LIGHTER 에티오피아 하마쇼 내추럴",커피,서울특별시 관악구 조원로 2길 7 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,카페플롬 010-4155-8282,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
모노톤,볶은 커피,"그럼블커피, 경기도 하남시 감북동 감초로 45-13",제조일로부터 6개월,상단 별도 표기,상단 별도 표기,직사광선을 피하고 서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
리들리,커피원두,"식물학커피로스터스, 서울특별시 용산구 서빙고로67길 21 2층",제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
랑케블랙,커피,경기 안산시 단원구 산단로 296 522호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,랑케커피 01089630224,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
화사한 빈도,커피 원두,서울특별시 양천구 목동중앙서로 33 1층 빈도 로스터스 커피,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,빈도 로스터스 커피 / 02-2643-2988,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 카욘 마운틴 내추럴,커피,성덕정길 130,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,글루 01023160961,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
뷰블렌드,커피,바다뷰커피공장 / 강원도 양양,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,바다뷰 커피공장 010-9969-3824,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
BACS 더스크 블렌드,커피,서울 서초구 효령로 74길 36 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,BACS 010-3083-5636,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
호수 블렌드,커피,디그리,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,디그리 01031660563,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 비야라조 민트,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,오프사이트 0507-1399-2781,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 원두 (브라질),커피,"인천 서구 가정로261번길 7 101~102호(석남동, 인천플러스)",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이보크 010-9290-1646,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 시다모 문타샤,커피,서울특별시 용산구 갈월동 5-67,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피볶는곰 0262422113,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
명지바람,커피,경기도 양주시 은현면 봉암6길 25,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올바른생각 010-3309-3120,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
조바티 클래식 블렌드,커피,"경기도 고양시 일산동구 일산로 372번길 30-5, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 첼베사 워시드,커피,"대구광역시 수성구 청솔로 57, 1층",제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,흐드러진커피 01046819876,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
피크 블렌드,커피,전라남도 나주시 우정로 10 게토33 나동 A101~108호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,헬퍼 스튜디오 010-2918-9270,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
커튼콜,커피,제주 제주시 한경면 용금로 442 / CRACKERS COFFEE ROASTERS,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,크래커스 커피 로스터스 010-2605-1001,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Parachute (패러슈트),커피,서울시 관악구 은천로 39,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,UFO 커피로스터스 010-4240-8455,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
라까프 에스프레소 블렌드,커피,서울특별시 광진구 면목로 5-1 1층 102호,제조일로부터 1년,제조일 전면 표기,250g / 1kg,,커피원두 100%,라까프 070-8098-2019,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에스프레션,커피,"서울특별시 강남구 학동로 107, 5층",제조일로부터 1년,주문 확인 후 제조,500g/1kg,,커피원두 100%,커피루소 02-2056-7619,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
핸디엄 밸런스 원두 다크 5kg,커피,서울특별시 강남구 영동대로106길 37,제조일로부터 1년,주문 확인 후 제조,500g x 10ea,,"커피원두 100% (브라질산 50%, 콜롬비아산 30%, 과테말라산 20%)",핸디엄 1599-2681,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블랙 블렌드,커피,경기 남양주시 불암로109번길 4-29 (별내동) 1층 레인디어커피,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,레인디어커피컴퍼니 010-3976-1590,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
올드스쿨(Old School),커피,서울시 중랑구 신내역로 111 SKV1 센터,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,그린마일커피,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시그니처 블랜드 언타이틀드,커피,서울특별시 성동구 아차산로17길 48 SK V1CENTER 401호,제조일로부터 1년,주문일 기준 2주 내 로스팅 상품 출고,1kg,,커피원두 100%,라운지엑스 070-5161-0005,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
허니서클 블렌드,커피,구리시 아차산로 432번길 18 201호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,놈코어커피 010-5134-1306,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
과테말라 파노라마,커피,서울시 관악구 은천로 39,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,UFO 커피로스터스 010-4240-8455,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 모틸론,커피,서울특별시 양천구 신정중앙로 32 1층 좌측호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,저스트로스터 010-5632-5026,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
포트리스 블렌드,커피,경기 수원시 팔달구 매산로 139-5,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,노스모크위드아웃파이어 010-2979-2040,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,커피원두,,제조일로부터 1년,전면 별도 표기,200g / 1kg,,,코케 고객센터 070-4647-1868,"개봉 후 서늘한 곳에 밀폐하여 보관하시고, 되도록 공기와의 접촉을 피해야합니다.",,"제주시 애월읍 고내3길 14(애월공장), 서울시 마포구 월드컵북로 42다길 14(상암공장)",,,,,,,,,,,,커피원두 100%,주식회사 하늘에커피,,,,,,
BEIGE 블랜드,가공 원두,,,,,,,코케 고객센터 070-4647-1868,,컬러드 빈,서울시 서대문구 연희동,주문일로 3일이내,제조일로부터 6개월,200g/1kg,로스팅 되어진 원두,베이지블랜드,,,,,,,,,,,,,,
피크 블렌드,원두커피,,,,,,,코케 고객센터 070-4647-1868,,오드이븐,부산광역시 중구 중구로 29번길 7 오드이븐,주문접수 후 당일제조,제조일로부터 6개월 이내 권장,,원두커피 100%,,,,,,,200g / 1kg,,,,,,,,
커피가이 블렌드,커피,경기도 수원시 팔달구 창룡대로103번길 132,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피가이 010-9507-2095,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블렌드 루트 블랙,커피,리프커피,제조일로부터 6개월,주문 확인 후 제조,1kg,,커피원두 100%,서울특별시 송파구 법원로 114 B동 106호 리프커피 02-2088-4341,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
과테말라 SHB SW 디카프,커피 원두,"파주시 꽃아마길41, 디카프워크룸",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),200g / 500g,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
리밀 블렌드,볶은커피,"서울시 마포구 동교로22길 21,1층 리밀커피",제조일로부터 3개월 이내,주문일로부터 7일 이내,200g / 1kg,-,"커피원두 100%(브라질산, 인도산)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
33도 블렌드,원두커피,"55도 커피로스터스, 경기도 성남시 분당구 서현동 175-5번지",제조일로부터24개월,전면 별도 표기,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.",커피원두100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
ESPRESSO 3s,볶은커피,"(주)한국커피, 경기도 오포읍 수레실길 144",제조일자로부터 1년,별도 표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳에 보관하십시오. 개봉 후 빨리 드시기 바랍니다.,원두커피 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
자몽 블렌딩,볶은커피,경상남도 진주시 남강로 36 (판문동) 1층 플라워진양호점,제조일로부터 12개월 이내,주문일로부터 7일 이내,500g / 1kg,-,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
인도 마이소르 너겟 엑스트라 볼드,커피,"베러로스팅랩, 서울시 성동구 왕십리로6길 18-1, 1층",제조일로부터 2개월,주문시 로스팅,200g,후면에 표기,커피원두 100%(인도100%),코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
BACS 다크 블렌드,볶은커피,서울 서초구 효령로 74길 36,제조일로부터 10개월,별도 표기,200g / 1kg,-,아라비카 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
디 카페인 블렌드,커피,"보일링팟커피컴퍼니, 서울시 마포구 도화2길27 2층",제조일로부터 1개월,별도표기,200g / 1kg,직사광선을 피하고 밀봉하여 실온,"커피원두 100% (콜롬비아 50%, 과테말라 50%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
나폴리,커피,경상북도 경산시 와촌면 갓바위로 67-2(와촌면) (우:38400),제조일로부터 1년,주문일로부터 7일이내,200g / 1kg,직사광선을 피하고 밀봉하여 실온보관,"커피원두 100%(브라질 40%, 콜롬비아 40%, 에티오피아 20%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,원두,"스탠딩커피로스터스 (주), 서울시 용산구 이태원동 210-8번지",제조일로부터 3개월,별도 표기,200g / 1kg,직사광선 피하고 서늘한 곳,볶은원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
클래식 블렌드,커피,"엘카페커피로스터스, 서울시 영등포구 양평로21나길 7",제조일로부터 1년,제조일 별도표기,200g / 1kg,건냉한 곳에 밀폐보관,원두커피 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
램블 블렌드,볶은 커피,"(주)502커피로스터스, 서울 금천구 가산디지털1로 159-20",제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100% (에티오피아100%),코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
스모키쿼츠 블렌드,커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,필리그리커피 032-672-9127,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시티섬머블루스 시즈널블랜드,커피,경기도 고양시 덕양구 행당로1 4층 401호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,컨트리사이드,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
아이스브레이커,,,제조일로부터 1년,후면별도표기,210g / 500g,실온에서 직사광선을 피해 서늘한 곳에 보관하세요.,"커피 100%(콜롬비아 50%, 브라질 50%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
시그니처 화이트,커피,서울시 강동구 성내로 58 희성빌딩 3층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이알코퍼레이션 01033422398,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
하우스블렌드,커피,경기도 성남시 중원구 둔촌대로 531 쌍용IT트윈타워 B동 901-2호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,챁챁커피 031-736-0090,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블루문,커피,"루비아 / 경기 성남시 사기막골로 124, 비즈동 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,루비아 커피 / 010-2942-3069,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
아이보리 블렌드,원두커피,,,,,,,코케 고객센터 070-4647-1868,,180커피로스터스,경기도 성남시 분당구 문정로144번길 4,제품 별도 표기,제품 별도 표기,200g / 1kg,"원두커피 100% (콜롬비아 70%, 브라질 30%)",,,,,,,,,,,,,,,
과테말라 산타펠리사 블루제이드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,500g / 1kg,,커피원두 100%,커스프 커피 010-3267-0430,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블렌드 C,커피,서울 관악구 남현2길 18 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리버벨 010-7220-7215,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
데일리 스윗 플러스,커피,"(주)핸디엄, 경기도 여주시 세종대왕면 상동길 68",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,언더프레셔 1599-2681,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
R 블렌드,커피 원두,서울특별시 마포구 월드컵북로6길 88,제조일로부터 1년,별도표기,200g,서늘한 곳에 보관,"커피 원두(과테말라 50%, 브라질 40%, 에티오피아 10%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
디어 베이커,커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,500g/ 1kg,서늘한 곳에 보관,"커피원두(브라질산 40%, 에티오피아산 30%, 과테말라산 30%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
브라우니 블렌드,원두커피,"커넥츠커피, 서울특별시 마포구 성지길 60, 1층(국제빌딩)",제조일로부터 12개월,주문일로부터 3일 이내,1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.","커피원두100%(브라질 40%, 과테말라 30%, 엘 살바도르 30%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
간편한즉석밥 블렌딩,원두,"원더월 커피로스터스, 서울시 동대문구 답십리로 80 1층",제조일로 2개월,제품 표시,500g / 1kg,실온 보관,"아라비카 생두 50%, 로부스타 생두 50%",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
봄의 제전,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
Classic Plus Blend,볶은커피,"(주)펠트, 경기도 고양시 덕양구 덕은동 74-1 1층",제조일로 부터 1년,후면별도표시,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
애비뉴 블렌딩,커피,서울 서대문구 연희로 46-1,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,웨이즈커피 010-6434-8150,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블랙렄 블렌드,커피,서울 강북구 한천로139가길 15 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,칠복상회 010-6521-4889,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
밸런스 블렌드,커피,서울 중구 필동로 32 낙원빌딩 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,헤베커피 010-5295-5742,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
위시풀 블렌드,커피,경기도 수원시 장안구 금당로90번길 38 이수팩토리,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이수팩토리 01086348481,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,볶은 커피,"피어커피 로스터스, 서울시 성동구 광나루로 4가길 38 1층",제조일로부터 1년,상품후면표기,1000g,직사광선을 피하고 서늘한 곳에 보관하십시오,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
빈야도르 블렌드,커피,"싸인포스트커피, 서울시 동작구 솔밭로 97-6",제조일로부터 6개월,제조일 별도 표기,200g / 1kg,해당없음,볶은 커피 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
모카 블렌딩,커피,서가로스터리 (충남 논산시 연산면 황룡재로 65 2층 서가로스터리 1사무실),제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,서가로스터리 01063083067,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
J브라운,커피,경기도 고양시 덕양구 행신동741-17 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피네츄럴스페셜티,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시즈널 블렌드 '여름',커피,부산광역시 중구 중앙대로29번길 6,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,연경재 010-6662-4474,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
클래식 블렌드 1996,커피,경기도 하남시 조정대로 150 (아이테코) 오렌지존 226호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,전광수 커피 010-2936-0501,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
로엄버 블렌딩,커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올인커피 010-7636-6916,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 게이샤,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,"500kg, 1kg",,커피원두 100%,운조커피 010-4535-8819,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
비터스윗 라이프 에디션2,커피,"커피몽타주, 경기도 하남시 미사동로40번길 137",제조일로부터 3개월까지(실온상태),상품 후면에 별도 표기,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하십시오.,"커피원두 100%(인도 50%, 코스타리카 30%, 에티오피아 20%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
케냐 뚱구리 AA,커피,서울특별시 마포구 마포대로 156 공덕푸르지오시티 1층 107호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,영앤도터스 010-7449-0207,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
2시 15분,커피,서울시 광진구 자양동 79-2 2층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,아드프커피로스터스,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
초코블라썸 블랜드,커피,경북 구미시 산동읍 첨단기업1로 42,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,퍼블릭 커피 로스터즈 010-9328-0036,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 콜롬비아,커피,"제조원 앤써커피:경기도 일산서구 고양시 주엽동81 뉴서울프라자 3층, 매장 앤써커피 역삼:서울특별시 강남구 논현로 85길 5-12 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,앤써커피 010-4064-3852,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
다크그린 블렌딩 커피,커피,"전라남도 장성군 진원면 나노산단2로 52, 205호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,링크 커피 로스터스 010-5035-1425,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Caramelo 카라멜로,커피,경기 고양시 덕양구 의장로 29-31 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,클라리멘토 010-9290-5005,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Enak 블렌딩,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,제이엠디커피팩토리 010-9903-8794,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
카라멜 슬럽 블렌드,볶은 커피,"광주광역시 동구 준법로 14, 1층 슬러핀커피",제조일로부터 6개월,별도표기,250g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,"원두 100% (콜롬비아 50%, 브라질 50%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
엘리 크릭,커피,"경기도 성남시 중원구 사기막골로 124, skn테크노파크 메가센터 1411호, (주)프레이저커피",제조일로부터 1년,주문시 로스팅,200g / 1kg,실온보관,"커피원두 100%(브라질 35%, 과테말라 25%, 콜롬비아 20%, 에티오피아 20%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
블랙오르페우스,커피 원두,"브니엘컴퍼니, 서울시 양천구 가로공원로56길 27-1 1층 브니엘 커피 로스터스",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
비숲,커피 원두,"애크로매틱 커피컴퍼니, 서울 강동구 성내동 466",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),200g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,"커피원두 100% (에티오피아산 50%, 인도산 30%, 콜롬비아산 20%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
멜로브라운,커피,서울특별시 영등포구 문래로 20길 60 501호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,블랙빈스 010-5684-2955,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
