이름,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호,ID,보관방법,제품명,원재료,용량,포장재질,제조원,주소,허가번호,제조일,권장기한,생산자,소재지,제조연월일,유통기한 또는 품질유지기한,포장단위별 내용물의 용량(중량),원재료명 및 함량,"포장단위별 내용물의 용량(중량), 수량",식품유형,원재료명,품질유지기한,제조 및 판매원,성분
커넥츠 블렌드,원두커피,"커넥츠커피, 서울특별시 마포구 성지길 60, 1층(국제빌딩)",제조일로부터 12개월,주문일로부터 3일 이내,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.","커피원두100%(콜롬비아 40%, 에티오피아 20%, 과테말라 20%, 코스타리카 15%, 인도 5%)",코케 고객센터 070-4647-1868,1012,,,,,,,,,,,,,,,,,,,,,,
케냐 가차타 AA,커피,서울시 강남구 강남대로154길 24 준영빌딩 1층,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,수수커피 010-5068-4771,3552,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
브라질 옐로우버번 MWP 디카페인원두,커피,서울 동대문구 답십리로 80 1층,제조일로부터 1년,주문 확인 후 제조,800g,,디카페인원두 100%,원더월 커피 로스터스 010-8754-6467,1714,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
비터스윗,커피,"서울특별시 강남구 학동로 107, 5층",제조일로부터 1년,주문 확인 후 제조,500g/1kg,,커피원두 100%,커피루소 02-2056-7619,3563,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
멜로브라운,커피,서울특별시 영등포구 문래로 20길 60 501호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,블랙빈스 010-5684-2955,1734,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 엘 카르멘 디카프,커피원두,서울특별시 용산구 이태원로49길 24,제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,1505,,,,,,,,,,,,,,,,,,,,,,
디카페인 올 데이 블렌드,커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 보관,"커피원두(브라질산 60%, 과테말라산 30%, 에티오피아산 10%)",코케 고객센터 070-4647-1868,137,,,,,,,,,,,,,,,,,,,,,,
밤의 유영,커피,경기 안산시 단원구 산단로 296 522호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,랑케커피 01089630224,4328,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
미드나잇 블루 (디카페인 원두),커피,부산광역시 중구 중앙대로29번길 6,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,연경재 010-6662-4474,3614,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시즈널 블렌드 '가을',커피,부산광역시 중구 중앙대로29번길 6,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,연경재 010-6662-4474,4820,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
꼬소한쌀밥 블렌딩,커피,서울 동대문구 답십리로 80 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,원더월 커피 로스터스 010-8754-6467,4041,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
엘리 크릭,커피,"경기도 성남시 중원구 사기막골로 124, skn테크노파크 메가센터 1411호, (주)프레이저커피",제조일로부터 1년,주문시 로스팅,200g / 1kg,실온보관,"커피원두 100%(브라질 35%, 과테말라 25%, 콜롬비아 20%, 에티오피아 20%)",코케 고객센터 070-4647-1868,1047,,,,,,,,,,,,,,,,,,,,,,
간편한즉석밥 블렌딩,원두,"원더월 커피로스터스, 서울시 동대문구 답십리로 80 1층",제조일로 2개월,제품 표시,500g / 1kg,실온 보관,"아라비카 생두 50%, 로부스타 생두 50%",코케 고객센터 070-4647-1868,1201,,,,,,,,,,,,,,,,,,,,,,
2nd WAVE : Customizing,볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"브라질 생두 40%, 인도네시아 40%, 에티오피아 20%",코케 고객센터 070-4647-1868,23,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 메사 알타,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,오프사이트 0507-1399-2781,3739,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
과테말라 엘 소코로 버본,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,4775,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
위시풀 블렌드,커피,경기도 수원시 장안구 금당로90번길 38 이수팩토리,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이수팩토리 01086348481,4311,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
비터스윗 라이프 에디션1,커피,"커피몽타주, 경기도 하남시 미사동로40번길 137",제조일로부터 3개월까지(실온상태),상품 후면에 별도 표기,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하십시오.,"커피원두 100%(인도 50%, 코스타리카 30%, 에티오피아 20%)",코케 고객센터 070-4647-1868,51,,,,,,,,,,,,,,,,,,,,,,
Enak 블렌딩,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,제이엠디커피팩토리 010-9903-8794,3456,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
다크 브라운,커피,"루비아 / 경기 성남시 사기막골로 124, 비즈동 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,루비아 커피 / 010-2942-3069,3039,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 워르카 우리 워시드,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,4767,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
페루 엘 세드로 마르셀 워시드,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,4785,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
비터스윗 라이프 에디션2,커피,"커피몽타주, 경기도 하남시 미사동로40번길 137",제조일로부터 3개월까지(실온상태),상품 후면에 별도 표기,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하십시오.,"커피원두 100%(인도 50%, 코스타리카 30%, 에티오피아 20%)",코케 고객센터 070-4647-1868,52,,,,,,,,,,,,,,,,,,,,,,
프렌들리 블렌드,커피,이수팩토리 / 경기도 수원시 장안구 조원동 525-19,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이수팩토리 01086348481,4052,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
자몽 블렌딩,볶은커피,경상남도 진주시 남강로 36 (판문동) 1층 플라워진양호점,제조일로부터 12개월 이내,주문일로부터 7일 이내,500g / 1kg,-,커피원두 100%,코케 고객센터 070-4647-1868,1121,,,,,,,,,,,,,,,,,,,,,,
과테말라 우에우에테낭고 디카페인,커피,서울시 관악구 은천로 39,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,UFO 커피로스터스 010-4240-8455,3231,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
스트레토 블렌드,커피,"경기도 파주시 문산읍 사목로 69, 3동",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,스트레토 커피팩토리 01086790553,4874,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
마이 로맨스,원두커피,"브니엘컴퍼니, 서울시 양천구 가로공원로56길 27-1 1층 브니엘 커피 로스터스",제조일로부터 1년,상단에 표시,200g / 1kg,없음,"과테말라 50%, 에티오피아 50%",코케 고객센터 070-4647-1868,56,,,,,,,,,,,,,,,,,,,,,,
아헨 Aachen,커피,크레센도 커피로스터스 경기도 성남시 중원구 둔촌대로 400 스타우드 511호,제조일로부터 1년,별도표기,1kg,,커피원두 100%,크레센도 커피 로스터스 010-3386-5969,4801,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
커튼콜,커피,제주 제주시 한경면 용금로 442 / CRACKERS COFFEE ROASTERS,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,크래커스 커피 로스터스 010-2605-1001,3391,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
브라질 캄포 알레그레,커피,"웨이브온커피, 부산광역시 기장군 장안읍 해맞이로 286",제조일로부터 1년,별도 표시,200g / 1kg,밀봉 후 직사광선을 피하여 실온 보관,커피원두100%,코케 고객센터 070-4647-1868,225,,,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프G1 아리차 내추럴,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,"500g, 1kg",,커피원두 100%,운조커피 010-4535-8819,3893,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블랙렄 블렌드,커피,서울 강북구 한천로139가길 15 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,칠복상회 010-6521-4889,3029,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
데일리 스윗 플러스,커피,"(주)핸디엄, 경기도 여주시 세종대왕면 상동길 68",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,언더프레셔 1599-2681,3429,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
딥씨 블렌드,볶은 커피,"(주)502커피로스터스, 서울 금천구 가산디지털1로 159-20",제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868,104,,,,,,,,,,,,,,,,,,,,,,
어느푸른저녁,커피 원두,"애크로매틱 커피컴퍼니, 서울 강동구 성내동 466",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),200g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,"커피원두 100%(에티오피아산 40%, 콜롬비아산 35%, 인도산 25% )",코케 고객센터 070-4647-1868,54,,,,,,,,,,,,,,,,,,,,,,
에티오피아 하루수케,커피,서울특별시 영등포구 문래로 20길 60 501호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,블랙빈스 010-5684-2955,1735,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인 한국커피 셀렉션,볶은커피,"(주)한국커피, 경기도 오포읍 수레실길 144",제조일자로부터 1년,별도 표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳에 보관하십시오. 개봉 후 빨리 드시기 바랍니다.,원두커피 100%,코케 고객센터 070-4647-1868,1038,,,,,,,,,,,,,,,,,,,,,,
브릴리,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,204,,,,,,,,,,,,,,,,,,,,,,
Decaf 디카페인,커피,경기 고양시 덕양구 의장로 29-31 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,클라리멘토 010-9290-5005,3516,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
피타 블렌드,커피원두,"충청북도 청주시 청원구 내수읍 충청대로 904, A동 하우트커피컴퍼니",제조일로부터 1개월,전면 별도 표기,200g / 1kg,공기가 들어가지 않도록 밀봉 또는 밀폐 용기에 담아 서늘한 그늘에 보관하십시오.,커피원두100%,코케 고객센터 070-4647-1868,1107,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 E.A 디카페인,커피 원두,"인천 연수구 청명로 26, 디벨로핑룸",제조일로부터 1년,제조일 별도 표기 (제품 앞면),200g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,1088,,,,,,,,,,,,,,,,,,,,,,
CLASSIC BLEND,볶은커피,"(주)한국커피, 경기도 오포읍 수레실길 144",제조일자로부터 1년,별도 표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳에 보관하십시오. 개봉 후 빨리 드시기 바랍니다.,원두커피 100%,코케 고객센터 070-4647-1868,173,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 핀카 라 에스메랄다 아나에어로빅 허니,커피,서울 관악구 남현2길 18 1층,제조일로부터 1년,주문 확인 후 제조,400g,,커피원두 100%,리버벨 010-7220-7215,3601,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 에티오피아 블렌드,커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,200g,서늘한 곳에 보관,커피원두(에티오피아산 100%),코케 고객센터 070-4647-1868,135,,,,,,,,,,,,,,,,,,,,,,
아이에스오 백,커피,제주 제주시 한경면 용금로 442 / CRACKERS COFFEE ROASTERS,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,크래커스 커피 로스터스 010-2605-1001,3392,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
반월 블렌드,커피,디그리,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,디그리 01031660563,4331,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
과테말라 파노라마,커피,서울시 관악구 은천로 39,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,UFO 커피로스터스 010-4240-8455,3232,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
싸우스폴 블렌드,커피,"싸인포스트커피, 서울시 동작구 솔밭로 97-6",제조일로부터 6개월,제조일 별도 표기,200g / 1kg,해당없음,볶은 커피 100%,코케 고객센터 070-4647-1868,83,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,커피원두,,제조일로부터 1년,전면 별도 표기,200g / 1kg,,,코케 고객센터 070-4647-1868,1296,"개봉 후 서늘한 곳에 밀폐하여 보관하시고, 되도록 공기와의 접촉을 피해야합니다.",,,,,주식회사 하늘에커피,,,,,,"제주시 애월읍 고내3길 14(애월공장), 서울시 마포구 월드컵북로 42다길 14(상암공장)",,,,,,,,,,커피원두 100%
맛좋은커피블렌드,커피,경기도 성남시 중원구 둔촌대로 531 쌍용IT트윈타워 B동 901-2호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,챁챁커피 031-736-0090,3014,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
풍요로운 땅,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,120,,,,,,,,,,,,,,,,,,,,,,
클래식 블렌드 1996,커피,경기도 하남시 조정대로 150 (아이테코) 오렌지존 226호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,전광수 커피 010-2936-0501,4305,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
스윗탱고,커피,경기도 고양시 덕양구 행신동 741-17 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피네츄럴스페셜티,4694,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 비야라조 시나몬,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,오프사이트 0507-1399-2781,3736,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
모리 로부스타 쎄 허니,커피,서울특별시 광진구 면목로 5-1 1층 102호,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,라까프 070-8098-2019,3935,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
포세이돈 블렌딩,커피,라메르판지 비앤알 / 울산광역시 북구 판지1길 30(지상 2~3층 구유동),제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,라메르판지비앤알 0522928787,4682,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 딤투 테로 내츄럴,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,4766,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
바이올렛 블렌딩 커피,커피,"전라남도 장성군 진원면 나노산단2로 52, 205호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,링크 커피 로스터스 010-5035-1425,3199,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 아리차 에이미 G1 내츄럴,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,카페소소한사치 010-9340-4364,3020,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 시다모 G1 봄베 와인 내추럴,커피,경기도 고양시 덕양구 행당로 1 4층 401호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,컨트리사이드 010-6639-4576,4570,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 블렌드 위켄드,커피,"경기도 일산동구 성석동 78-2, A동 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커넥츠커피 010-5758-1108,4017,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시그니처블렌드 D,커피,로컬커피로스터스. 경기도 김포시 양촌읍 불당로 92-10,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,로컬커피 로스터스 01025550698,3837,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
레드 블렌딩 커피,커피,"전라남도 장성군 진원면 나노산단2로 52, 205호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,링크 커피 로스터스 010-5035-1425,3194,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
초콜릿 블렌드,원두커피,,,,,,,코케 고객센터 070-4647-1868,1473,,,,,,,,,,,180커피로스터스,경기도 성남시 분당구 문정로144번길 4,제품 별도 표기,제품 별도 표기,200g / 1kg,"원두커피 100% (콜롬비아 50%, 브라질 30%, 인도 20%)",,,,,,
릴렉스 블렌드,커피,전라남도 나주시 우정로 10 게토33 나동 A101~108호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,헬퍼 스튜디오 010-2918-9270,3404,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
진양조,원두,"스탠딩커피로스터스 (주), 서울시 용산구 이태원동 210-8번지",제조일로부터 3개월,별도 표기,200g / 1kg,직사광선 피하고 서늘한 곳,볶은원두 100%,코케 고객센터 070-4647-1868,70,,,,,,,,,,,,,,,,,,,,,,
밝은 블렌드,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,200g / 1kg,,커피원두 100%,카페소소한사치 010-9340-4364,3018,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
보이져,원두,Steamerscoffee,제조일로부터 2달 이내,상품 뒷면 참조,200g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,Ethiopia 60% + Honduras 40%,코케 고객센터 070-4647-1868,13,,,,,,,,,,,,,,,,,,,,,,
블렌드 B,커피,"리버벨, 서울시 관악구 남현 2길 18 1층",제조일부터 1년 이내,별도 표기,150g / 1kg,상온 보관,원두커피 100%,코케 고객센터 070-4647-1868,167,,,,,,,,,,,,,,,,,,,,,,
66도 블렌드,원두커피,"55도 커피로스터스, 경기도 성남시 분당구 서현동 175-5번지",제조일로부터 24개월,전면 별도 표기,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.",커피원두100%,코케 고객센터 070-4647-1868,219,,,,,,,,,,,,,,,,,,,,,,
7:01AM 블렌드,커피,부산광역시 중구 중앙대로29번길 6,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,연경재 010-6662-4474,3359,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Santo Negro 산토네그로,커피,경기 고양시 덕양구 의장로 29-31 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,클라리멘토 010-9290-5005,3515,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
SANTA ISABEL(산타 이사벨),볶은 커피,서울특별시 강남구 학동로50길 42,제조일로부터 1년,상품 후면 표기,1kg,,커피원두 100%,마그마커피 070-7599-2210,4447,습기 및 직사광선을 피하고 서늘한 장소에 보관하십시오.,,,,,,,,,,,,,,,,,,,,,
에티오피아 케라모 G1 워시드,커피,"서울특별시 강남구 테헤란로 129, 지하 1층 2, 3호(역삼동)",제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,수수커피 010-5068-4771,3907,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
아이스브레이커,,,제조일로부터 1년,후면별도표기,210g / 500g,실온에서 직사광선을 피해 서늘한 곳에 보관하세요.,"커피 100%(콜롬비아 50%, 브라질 50%)",코케 고객센터 070-4647-1868,272,,,,,,,,,,,,,,,,,,,,,,
블렌드 C,커피,서울 관악구 남현2길 18 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리버벨 010-7220-7215,3444,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 핀카 라 레세르바 카투라치로소,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,4786,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
클래식 블렌드,커피,서울 중구 필동로 32 낙원빌딩 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,헤베커피 010-5295-5742,4611,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
"DEEP, DEEPLY 딥 딥플리",커피,서울특별시 관악구 조원로 2길 7 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,카페플롬 010-4155-8282,4717,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
라까프 핀 블렌드,커피,서울특별시 광진구 면목로 5-1 1층 102호,제조일로부터 1년,제조일 전면 표기,250g / 1kg,,커피원두 100%,라까프 070-8098-2019 또는 Korea@lacaph.com 문의,3160,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Harum 블렌딩,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,제이엠디커피팩토리 010-9903-8794,3462,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
코스타리카 핀카 마초 워시드,커피,"경기도 파주시 탄현면 소리개길 164-17, 3동",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,폰트커피 010-9483-1853,4772,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
2시 15분,커피,서울시 광진구 자양동 79-2 2층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,아드프커피로스터스,3437,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
짙은 블렌드,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,200g/ 1kg,,커피원두 100%,카페소소한사치 010-9340-4364,3016,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
